grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
1258200,1,58,UGAB,VINGERKLIP (64734002),,-20.4,15.467,14200,910,1967,2017,51,2.61369863,,,,,1967,2017,51,0.391,0.391,0.391
1258201,1,58,UGAB,UGAB SLAB (64734003),,-21.067,13.8,28900,100,1977,2017,41,7.201632098,,,,,1977,2017,41,0.142,0.142,0.142
1258202,1,58,UGAB,PETERSBURG (64734001),,-20.2,16.133,7720,1140,1961,2017,57,0.116200252,,,,,1961,2017,57,0.087,0.087,0.087
6934300,6,34,UGGERBY A,ASTED BRO,DK,57.4504,10.13254,153,17.8,1917,2017,101,0,1917,2002,86,0,1917,2017,101,1.588,1.588,1.588
6604840,6,4,"UGIE, RIVER",INVERUGIE,GB,57.52669114,-1.832792327,325,8.5,1971,2016,46,0,,,,,1971,2016,46,4.901,4.901,4.901
2911415,2,11,UGURMANKA,MIHAILOVKA,RU,55.58,79.45,852,-999,,,,,1968,1994,27,38.31775701,1968,1994,27,0.653,0.653,0.653
2588203,2,88,UJI GAWA,YODO,JP,34.89,135.72,4354,-999,1993,2003,11,4.630321135,1993,2000,8,4.166666667,1993,2003,11,160.454,160.454,160.454
2912277,2,12,UK,ZAVODOUKOVSK,RU,56.5,66.55,917,-999,,,,,1962,1993,32,0.260416667,1962,1993,32,1.782,1.782,1.782
6970130,6,70,UKHTA,YEREMINO,RU,61.183334,38.650002,865,-999,,,,,1962,1988,27,3.797468354,1962,1988,27,8.481,8.481,8.481
6970915,6,70,UKHTA,UKHTA,RU,63.562084,53.691666,4290,-999,,,,,1933,1998,66,0.50955414,1933,1998,66,46.626,46.626,46.626
6972851,6,72,UKHTA,KALEVALA,RU,65.2,31.183333,361,-999,,,,,1953,1988,36,0,1953,1988,36,4.281,4.281,4.281
6273771,6,73,ULA,BACHEYKAVA,BY,55.014631,29.154634,3330,-999,1992,2000,9,31.35168961,,,,,1992,2000,9,18.465,18.465,18.465
6574727,6,74,ULA,ZERVYNOS,LT,54.11666667,24.5,-999.9,-999,1986,1993,8,65.16424752,,,,,1986,1993,8,4.661,4.661,4.661
2903760,2,3,ULAKHAN-BOTUOBUYA,TAS-YURYA,RU,61.72,113.02,9230,-999,,,,,1964,1992,29,25,1964,1992,29,35.658,35.658,35.658
2903715,2,3,ULAKHAN-EDZHEK,DALNY,RU,63.58,110.05,854,-999,,,,,1974,1994,21,36.11111111,1974,1994,21,5.275,5.275,5.275
2311520,2,11,ULANKA,ULANSKOJE,KZ,49.72,82.22,505,-999,,,,,1979,1985,7,0,1979,1985,7,0.78,0.78,0.78
2311800,2,11,UL'BA,ULBA PEREVALOCHNAYA,KZ,49.93,82.83,4900,322,1978,1987,10,0,1936,1987,52,3.846153846,1936,1987,52,88.369,88.369,88.369
2311527,2,11,ULKEN BOKEN,ZHUMBA,KZ,49,82.8,758,-999,,,,,1956,1987,32,0.791556728,1956,1987,32,7.702,7.702,7.702
6731231,6,31,ULLADALSELVI,MOAVATN,NO,59.4,6.66,224,681,1966,1978,13,5.327413984,,,,,1966,1978,13,18.544,18.544,18.544
1599240,1,99,ULUNDI CREEK,RSA BORDER (68632233),SZ,-26.303611,30.8075,244,-999,1980,1991,12,21.5583769,,,,,1980,1991,12,1.335,1.335,1.335
2910320,2,10,ULUYUL,ARGAT-YUL,RU,57.83,86.28,7720,-999,,,,,1937,2000,64,29.296875,1937,2000,64,44.392,44.392,44.392
6731120,6,31,ULVAA,STORHOLEN,NO,62.28049,8.1178,435.5,490,1971,2015,45,0,,,,,1971,2015,45,15.398,15.398,15.398
6731115,6,31,ULVUNDA,NERDAL,NO,62.73,8.33,99.3,260,1967,2002,36,14.08871524,,,,,1967,2002,36,5.831,5.831,5.831
2907008,2,7,ULYUKCHIKAN,ULYIKCHIKAN,RU,53.87,109.93,29.7,-999,,,,,1951,1987,37,0,1951,1987,37,0.308,0.308,0.308
4115240,4,15,UMATILLA RIVER,"NEAR UMATILLA, OR",US,45.9029,-119.327,5931.1,100.73,1903,2019,117,0,,,,,1903,2019,117,14.329,14.329,14.329
4115241,4,15,UMATILLA RIVER,"ABOVE MEACHAM CREEK NEAR GIBBON, OR",US,45.7196,-118.3233,339.3,565.35,1933,2019,87,0.006354451,,,,,1933,2019,87,6.466,6.466,6.466
6971150,6,71,UMBA,PAIALKA,RU,66.674722,34.305556,6250,3,1979,1988,10,0,1930,1992,63,1.333333333,1930,1992,63,83.424,83.424,83.424
6971151,6,71,UMBA,AT EFFLUX,RU,67.53,34.28,2380,-999,,,,,1932,1992,61,0.960219479,1932,1992,61,39.969,39.969,39.969
1598001,1,98,"UMBELUZI, RIO",MLAWULA (68621032),SZ,-26.175,32.041667,2944,-999,1980,1990,11,11.39829413,,,,,1980,1990,11,7.629,7.629,7.629
1598002,1,98,"UMBELUZI, RIO",MBULUZI (68621020),SZ,-26.163333,31.876667,2250,-999,1973,1983,11,9.994523549,,,,,1973,1983,11,14.313,14.313,14.313
1598003,1,98,"UMBELUZI, RIO",LEPER SETTLEMENT (68621003),SZ,-26.214722,31.196389,670,-999,1959,1991,33,18.47193703,,,,,1959,1991,33,6.958,6.958,6.958
1598200,1,98,"UMBELUZI, RIO",TABANKULU WEIR (68621041),SZ,-26.128056,31.958333,119,-999,1975,1990,16,15.20350429,,,,,1975,1990,16,0.408,0.408,0.408
1898500,1,98,"UMBELUZI, RIO",BOANE,MZ,-26.05,32.32,5400,8,,,,,1976,1978,3,0,1976,1978,3,29.841,29.841,29.841
1898501,1,98,"UMBELUZI, RIO",GOBA MONTANTE (58621010),MZ,-26.196667,32.116389,3034,-999,1951,1988,38,0,,,,,1951,1988,38,10.812,10.812,10.812
6233501,6,33,UMEALVEN,UMEAE,SE,63.83,20.25,-999,-999,1918,2018,101,0.994957067,,,,,1918,2018,101,442.375,442.375,442.375
6233502,6,33,UMEALVEN,STORNORRFORS KRV,SE,63.85,20.04,26567.8,-999,1918,2018,101,0.996913665,1958,2018,61,1.648351648,1918,2018,101,442.625,442.625,442.625
1491580,1,91,UMFULI,TWYFORD WEIR,ZW,-18.12,30.22,5180,-999,,,,,1950,1979,30,0,1950,1979,30,15.214,15.214,15.214
